record_id,channels,fs,samples,seconds,channel_names,annotations,wfdb_checksum_passed
418,2,250,525000,2100.0,ECG;ECG,121,True
419,2,250,525000,2100.0,ECG;ECG,69,True
420,2,250,525000,2100.0,ECG;ECG,9,True
421,2,250,525000,2100.0,ECG;ECG,134,True
422,2,250,525000,2100.0,ECG;ECG,29,True
423,2,250,525000,2100.0,ECG;ECG,12,True
424,2,250,525000,2100.0,ECG;ECG,14,True
425,2,250,525000,2100.0,ECG;ECG,20,True
426,2,250,525000,2100.0,ECG;ECG,17,True
427,2,250,525000,2100.0,ECG;ECG,3,True
428,2,250,525000,2100.0,ECG;ECG,9,True
429,2,250,525000,2100.0,ECG;ECG,23,True
430,2,250,525000,2100.0,ECG;ECG,34,True
602,2,250,525000,2100.0,ECG;ECG,12,True
605,2,250,525000,2100.0,ECG;ECG,3,True
607,2,250,525000,2100.0,ECG;ECG,10,True
609,2,250,525000,2100.0,ECG;ECG,12,True
610,2,250,525000,2100.0,ECG;ECG,26,True
611,2,250,525000,2100.0,ECG;ECG,2,True
612,2,250,525000,2100.0,ECG;ECG,2,True
614,2,250,525000,2100.0,ECG;ECG,20,True
615,2,250,525000,2100.0,ECG;ECG,11,True
